type,format,version,data__|,data__|__id,data__|__key,data__|__name,data__|__title,data__|__image__full,data__|__image__sprite,data__|__image__group,data__|__image__x,data__|__image__y,data__|__image__w,data__|__image__h,data__|__skins__id,data__|__skins__num,data__|__skins__name,data__|__skins__chromas,data__|__spells__effect__001,data__|__spells__effect__002,data__|__spells__effect__003,data__|__spells__effect__004,data__|__spells__effect__005,data__|__spells__effect__006,data__|__lore,data__|__blurb,data__|__allytips__001,data__|__allytips__002,data__|__allytips__003,data__|__allytips__004,data__|__allytips__005,data__|__enemytips__001,data__|__enemytips__002,data__|__enemytips__003,data__|__enemytips__004,data__|__tags__001,data__|__tags__002,data__|__partype,data__|__info__attack,data__|__info__defense,data__|__info__magic,data__|__info__difficulty,data__|__stats__hp,data__|__stats__hpperlevel,data__|__stats__mp,data__|__stats__mpperlevel,data__|__stats__movespeed,data__|__stats__armor,data__|__stats__armorperlevel,data__|__stats__spellblock,data__|__stats__spellblockperlevel,data__|__stats__attackrange,data__|__stats__hpregen,data__|__stats__hpregenperlevel,data__|__stats__mpregen,data__|__stats__mpregenperlevel,data__|__stats__crit,data__|__stats__critperlevel,data__|__stats__attackdamage,data__|__stats__attackdamageperlevel,data__|__stats__attackspeedperlevel,data__|__stats__attackspeed,data__|__spells__id,data__|__spells__name,data__|__spells__description,data__|__spells__tooltip,data__|__spells__leveltip__label__001,data__|__spells__leveltip__label__002,data__|__spells__leveltip__label__003,data__|__spells__leveltip__label__004,data__|__spells__leveltip__label__005,data__|__spells__leveltip__label__006,data__|__spells__leveltip__effect__001,data__|__spells__leveltip__effect__002,data__|__spells__leveltip__effect__003,data__|__spells__leveltip__effect__004,data__|__spells__leveltip__effect__005,data__|__spells__leveltip__effect__006,data__|__spells__maxrank,data__|__spells__cooldown__001,data__|__spells__cooldown__002,data__|__spells__cooldown__003,data__|__spells__cooldown__004,data__|__spells__cooldown__005,data__|__spells__cooldown__006,data__|__spells__cooldownBurn,data__|__spells__cost__001,data__|__spells__cost__002,data__|__spells__cost__003,data__|__spells__cost__004,data__|__spells__cost__005,data__|__spells__cost__006,data__|__spells__costBurn,data__|__spells__effect,data__|__spells__effectBurn__001,data__|__spells__effectBurn__002,data__|__spells__effectBurn__003,data__|__spells__effectBurn__004,data__|__spells__effectBurn__005,data__|__spells__effectBurn__006,data__|__spells__effectBurn__007,data__|__spells__effectBurn__008,data__|__spells__effectBurn__009,data__|__spells__effectBurn__010,data__|__spells__effectBurn__011,data__|__spells__costType,data__|__spells__maxammo,data__|__spells__range__001,data__|__spells__range__002,data__|__spells__range__003,data__|__spells__range__004,data__|__spells__range__005,data__|__spells__range__006,data__|__spells__rangeBurn,data__|__spells__image__full,data__|__spells__image__sprite,data__|__spells__image__group,data__|__spells__image__x,data__|__spells__image__y,data__|__spells__image__w,data__|__spells__image__h,data__|__spells__resource,data__|__passive__name,data__|__passive__description,data__|__passive__image__full,data__|__passive__image__sprite,data__|__passive__image__group,data__|__passive__image__x,data__|__passive__image__y,data__|__passive__image__w,data__|__passive__image__h,,,,,
champion,full,11.22.1,Aatrox,Aatrox,266,Aatrox,the Darkin Blade,Aatrox.png,champion0.png,champion,0,0,48,48,266000,0,default,False,,,,,,,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find freedom once more, corrupting and transforming those foolish enough to try and wield the magical weapon that contained his essence. Now, with stolen flesh, he walks Runeterra in a brutal approximation of his previous form, seeking an apocalyptic and long overdue vengeance.","Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...",Use Umbral Dash while casting The Darkin Blade to increase your chances of hitting the enemy.,Crowd Control abilities like Infernal Chains or your allies' immobilizing effects will help you set up The Darkin Blade.,Cast World Ender when you are sure you can force a fight.,,,"Aatrox's attacks are very telegraphed, so use the time to dodge the hit zones.",Aatrox's Infernal Chains are easier to exit when running towards the sides or at Aatrox.,Keep your distance when Aatrox uses his Ultimate to prevent him from reviving.,,Fighter,Tank,Blood Well,8,4,3,4,580,90,0,0,345,38,3.25,32,1.25,175,3,1,0,0,0,0,60,5,2.5,0.651,AatroxQ,The Darkin Blade,"Aatrox slams his greatsword down, dealing physical damage. He can swing three times, each with a different area of effect.","Aatrox slams his greatsword, dealing <physicalDamage>{{ qdamage }} physical damage</physicalDamage>. If they are hit on the edge, they are briefly <status>Knocked Up</status> and they take <physicalDamage>{{ qedgedamage }}</physicalDamage> instead. This Ability can be <recast>Recast</recast> twice, each one changing shape and dealing 25% more damage than the previous one.",Cooldown,Damage,Total AD Ratio,,,,{{ cooldown }} -> {{ cooldownNL }},{{ qbasedamage }} -> {{ qbasedamageNL }},{{ qtotaladratio*100.000000 }}% -> {{ qtotaladrationl*100.000000 }}%,,,,5,14,12,10,8,6,,14/12/10/8/6,0,0,0,0,0,,0,null,null,0,0,0,0,0,0,0,0,0,0,No Cost,-1,25000,25000,25000,25000,25000,,25000,AatroxQ.png,spell0.png,spell,240,48,48,48,No Cost,Deathbringer Stance,"Periodically, Aatrox's next basic attack deals bonus <physicalDamage>physical damage</physicalDamage> and heals him, based on the target's max health. ",Aatrox_Passive.png,passive0.png,passive,0,0,48,48,,,,,
,,,,,,,,,,,,,,,266001,1,Justicar Aatrox,False,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,266002,2,Mecha Aatrox,True,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,266003,3,Sea Hunter Aatrox,False,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,266007,7,Blood Moon Aatrox,False,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,266008,8,Blood Moon Aatrox Prestige Edition,False,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,266009,9,Victorious Aatrox,True,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,266011,11,Odyssey Aatrox,True,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
