data__|__key;data__|__name;data__|__title;data__|__skins__name;data__|__skins__name01;data__|__skins__name02;data__|__skins__name03;data__|__skins__name04;data__|__skins__name05;data__|__skins__name06;data__|__skins__name07;data__|__skins__name08;data__|__skins__name09;data__|__skins__name010;data__|__skins__name011;data__|__skins__name012;data__|__skins__name013;data__|__skins__name014;data__|__skins__name015;data__|__skins__chromas;data__|__lore;data__|__blurb;data__|__allytips__001;data__|__allytips__002;data__|__allytips__003;data__|__allytips__004;data__|__allytips__005;data__|__enemytips__001;data__|__enemytips__002;data__|__enemytips__003;data__|__enemytips__004;data__|__tags__001;data__|__tags__002;data__|__partype;data__|__info__attack;data__|__info__defense;data__|__info__magic;data__|__info__difficulty;data__|__stats__hp;data__|__stats__hpperlevel;data__|__stats__mp;data__|__stats__mpperlevel;data__|__stats__movespeed;data__|__stats__armor;data__|__stats__armorperlevel;data__|__stats__spellblock;data__|__stats__spellblockperlevel;data__|__stats__attackrange;data__|__stats__hpregen;data__|__stats__hpregenperlevel;data__|__stats__mpregen;data__|__stats__mpregenperlevel;data__|__stats__crit;data__|__stats__critperlevel;data__|__stats__attackdamage;data__|__stats__attackdamageperlevel;data__|__stats__attackspeedperlevel;data__|__stats__attackspeed;data__|__spells__id;data__|__spells__name;data__|__spells__description;data__|__spells__leveltip__label__001;data__|__spells__leveltip__label__002;data__|__spells__leveltip__label__003;data__|__spells__leveltip__label__004;data__|__spells__leveltip__label__005;data__|__spells__leveltip__label__006;data__|__passive__name;data__|__passive__description
266;Aatrox;the Darkin Blade;default;;;;;;;;;;;;;;;;FALSO;Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find freedom once more, corrupting and transforming those foolish enough to try and wield the magical weapon that contained his essence. Now, with stolen flesh, he walks Runeterra in a brutal approximation of his previous form, seeking an apocalyptic and long overdue vengeance.;Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...;Use Umbral Dash while casting The Darkin Blade to increase your chances of hitting the enemy.;Crowd Control abilities like Infernal Chains or your allies' immobilizing effects will help you set up The Darkin Blade.;Cast World Ender when you are sure you can force a fight.;;;Aatrox's attacks are very telegraphed, so use the time to dodge the hit zones.;Aatrox's Infernal Chains are easier to exit when running towards the sides or at Aatrox.;Keep your distance when Aatrox uses his Ultimate to prevent him from reviving.;;Fighter;Tank;Blood Well;8;4;3;4;580;90;0;0;345;38;3.25;32;1.25;175;3;1;0;0;0;0;60;5;2.5;0.651;AatroxQ;The Darkin Blade;Aatrox slams his greatsword down, dealing physical damage. He can swing three times, each with a different area of effect.;Cooldown;Damage;Total AD Ratio;;;;Deathbringer Stance;Periodically, Aatrox's next basic attack deals bonus <physicalDamage>physical damage</physicalDamage> and heals him, based on the target's max health. 
;;;Justicar Aatrox;;;;;;;;;;;;;;;;FALSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Mecha Aatrox;;;;;;;;;;;;;;;;VERDADEIRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Sea Hunter Aatrox;;;;;;;;;;;;;;;;FALSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Blood Moon Aatrox;;;;;;;;;;;;;;;;FALSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Blood Moon Aatrox Prestige Edition;;;;;;;;;;;;;;;;FALSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Victorious Aatrox;;;;;;;;;;;;;;;;VERDADEIRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Odyssey Aatrox;;;;;;;;;;;;;;;;VERDADEIRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AatroxW;Infernal Chains;Aatrox smashes the ground, dealing damage to the first enemy hit. Champions and large monsters have to leave the impact area quickly or they will be dragged to the center and take the damage again.;Cooldown;Damage;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AatroxE;Umbral Dash;Passively, Aatrox heals when damaging enemy champions. On activation, he dashes in a direction.;Cooldown;Healing %;Healing % during World Ender;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AatroxR;World Ender;Aatrox unleashes his demonic form, fearing nearby enemy minions and gaining attack damage, increased healing, and movement speed. If he gets a takedown, this effect is extended.;Total Attack Damage Increase;Healing Increase;Move Speed;Cooldown;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;Ahri;the Nine-Tailed Fox;default;;;;;;;;;;;;;;;;FALSO;Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature, Ahri retains a sense of empathy as she receives flashes of memory from each soul she consumes.;Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature...;Use Charm to set up your combos, it will make landing Orb of Deception and Fox-Fire dramatically easier.;Initiate team fights using Charm, and chase down stragglers with Spirit Rush.;Spirit Rush enables Ahri's abilities, it opens up paths for Charm, helps double hitting with Orb of Deception, and closes to make use of Fox-Fire.;;;Ahri's survivability is dramatically reduced when her Ultimate, Spirit Rush, is down.;Stay behind minions to make Charm difficult to land, this will reduce Ahri's damage potential significantly.;;;Mage;Assassin;Mana;3;4;8;5;526;92;418;25;330;21;3.5;30;0.5;550;5.5;0.6;8;0.8;0;0;53;3;2;0.668;AhriOrbofDeception;Orb of Deception;Ahri sends out and pulls back her orb, dealing magic damage on the way out and true damage on the way back. ;@AbilityResourceName@ Cost;Damage;;;;;Essence Theft;When Ahri strikes 9 enemies with her abilities, her next ability also heals her for each enemy hit.
;;;Dynasty Ahri;;;;;;;;;;;;;;;;FALSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Midnight Ahri;;;;;;;;;;;;;;;;FALSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Foxfire Ahri;;;;;;;;;;;;;;;;FALSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Popstar Ahri;;;;;;;;;;;;;;;;VERDADEIRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Challenger Ahri;;;;;;;;;;;;;;;;VERDADEIRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Academy Ahri;;;;;;;;;;;;;;;;FALSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Arcade Ahri;;;;;;;;;;;;;;;;FALSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Star Guardian Ahri;;;;;;;;;;;;;;;;FALSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;K/DA Ahri;;;;;;;;;;;;;;;;FALSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;K/DA Ahri Prestige Edition;;;;;;;;;;;;;;;;FALSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Elderwood Ahri;;;;;;;;;;;;;;;;VERDADEIRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AhriFoxFire;Fox-Fire;Ahri gains a brief burst of movement speed and releases three fox-fires, that lock onto and attack nearby enemies.;Damage;Cooldown;;;;;;
;;;Spirit Blossom Ahri;;;;;;;;;;;;;;;;VERDADEIRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
