,key,name,title,skins__name01,skins__name02,skins__name03,skins__name04,skins__name05,skins__name06,skins__name07,skins__name08,skins__name09,skins__name010,skins__name011,skins__name012,skins__name013,skins__name014,skins__name015,lore,allytips__001,allytips__002,allytips__003,allytips__004,allytips__005,enemytips__001,enemytips__002,enemytips__003,enemytips__004,tags__001,tags__002,partype,info__attack,info__defense,info__magic,info__difficulty,stats__hp,stats__hpperlevel,stats__mp,stats__mpperlevel,stats__movespeed,stats__armor,stats__armorperlevel,stats__spellblock,stats__spellblockperlevel,stats__attackrange,stats__hpregen,stats__hpregenperlevel,stats__mpregen,stats__mpregenperlevel,stats__attackdamage,stats__attackdamageperlevel,stats__attackspeedperlevel,stats__attackspeed,spells__Q,spells__Q_description,spells__W,spells__W_description,spells__E,spells__E_description,spells__R,spells__R_description,passive__name,passive__description,lore_gpe_0,lore_person_0,lore_gpe_1,lore_org_0,lore_object_0,lore_person_1,lore_norp_0,lore_person_2,lore_event_0,lore_person_3,lore_org_1,lore_norp_1,lore_norp_2,lore_org_2
0,240,Kled,the Cantankerous Cavalier,Sir Kled,Count Kledula,Marauder Kled,,,,,,,,,,,,,"A warrior as fearless as he is ornery, the yordle Kled embodies the furious bravado of Noxus. He is an icon beloved by the empire's soldiers, distrusted by its officers, and loathed by the nobility. Many claim Kled has fought in every campaign the legions have waged, has “acquired” every military title, and has never once backed down from a fight. Though the truth of the matter is often questionable, one part of his legend is undeniable: Charging into battle on his un-trusty steed, Skaarl, Kled fights to protect what's his… and to take whatever he can get.","Kled generates some courage by killing minions, but gets much more from fighting Champions.",The last hit of Violent Tendencies deals more damage than the first three - make sure you hit it!,Chaaaaaaaarge!!! can be cast at a great range. Try and predict where the enemy team will be by the time you reach them.,,,"Kled generates courage by damaging enemies with his Pocket Pistol and basic attacks, killing minions, and attacking structures or epic monsters.","Watch Kled's courage bar when he's off his mount - when it reaches 100%, he will remount and regain a significant amount of health.",Kled is much more threatening when he has Violent Tendencies ready.,,Fighter,Tank,Courage,8,2,2,7,340.0,70,100.0,0.0,345,35,4.0,28.0,1.25,125,6.0,0.75,0.0,0.0,65.0,3.5,3.5,0.625,Bear Trap on a Rope,"Kled throws a bear trap that damages and hooks an enemy champion. If shackled for a short duration, the target takes additional physical damage and is yanked toward Kled.<br><br>When dismounted, this ability is replaced by Pocket Pistol, a ranged gun blast that knocks back Kled and restores courage.",Violent Tendencies,Kled gains massive attack speed for four attacks. The fourth attack deals more damage.,Jousting,"Kled dashes, dealing physical damage and gaining a short burst of speed. Kled can cast this ability again to dash back through his initial target, dealing the same damage.",Chaaaaaaaarge!!!,"Kled and Skaarl charge to a location, leaving a speed-granting trail behind them and gaining a shield. Skaarl locks onto and rams the first enemy champion encountered.","Skaarl, the Cowardly Lizard","Kled rides his trusty steed, Skaarl, who takes damage for him. When Skaarl's health depletes, Kled dismounts.<br><br>While dismounted, Kled's abilities change and he deals less damage to champions. Kled can restore Skaarl's courage by fighting enemies. At maximum courage, Kled remounts with a portion of Skaarl's health.",Noxus,Kled,Skaarl,,,,,,,,,,,
1,34,Anivia,the Cryophoenix,Team Spirit Anivia,Bird of Prey Anivia,Noxus Hunter Anivia,Hextech Anivia,Blackfrost Anivia,Prehistoric Anivia,Festival Queen Anivia,Papercraft Anivia,Cosmic Flight Anivia,Divine Phoenix Anivia,,,,,,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland. Anivia guides and protects the tribes of the harsh north, who revere her as a symbol of hope, and a portent of great change. She fights with every ounce of her being, knowing that through her sacrifice, her memory will endure, and she will be reborn into a new tomorrow.",Timing Flash Frost with Frostbite can lead to devastating combinations.,Anivia is extremely reliant on Mana for Glacial Storm. Try getting items with Mana or going for a Crest of the Ancient Golem buff on Summoner's Rift.,It can be very difficult for enemy champions to kill her egg early in game. Seize the advantage by playing aggressively.,,,"Try to gank Anivia when she's laning. With multiple people, it is easier to ensure that her egg dies.","If you're playing a ranged champion, stay far enough away from Anivia so you can dodge Flash Frost more easily.",Try to fight Anivia in the lanes. In the jungle she can block pathways with lower ranks of Crystallize.,,Mage,Support,Mana,1,4,10,10,480.0,82,495.0,45.0,325,21,4.0,30.0,0.5,600,5.5,0.55,8.0,0.8,51.0,3.2,1.68,0.625,Flash Frost,"Anivia brings her wings together and summons a sphere of ice that flies towards her opponents, chilling and damaging anyone in its path. When the sphere explodes it does moderate damage in a radius, stunning anyone in the area.",Crystallize,Anivia condenses the moisture in the air into an impassable wall of ice to block all movement. The wall only lasts a short duration before it melts.,Frostbite,"With a flap of her wings, Anivia blasts a freezing gust of wind at her target, dealing damage. If the target was recently hit by Flash Frost or damaged by a fully formed Glacial Storm, the damage they take is doubled.",Glacial Storm,Anivia summons a driving rain of ice and hail to damage her enemies and slow their advance.,Rebirth,"Upon taking fatal damage, Anivia reverts to an egg and is reborn with full health.",,,,Freljord,,,,,,,,,,
2,350,Yuumi,the Magical Cat,Battle Principal Yuumi,Heartseeker Yuumi,Yuubee,Bewitching Yuumi,,,,,,,,,,,,"A magical cat from Bandle City, Yuumi was once the familiar of a yordle enchantress, Norra. When her master mysteriously disappeared, Yuumi became the Keeper of Norra's sentient Book of Thresholds, traveling through portals in its pages to search for her. Yearning for affection, Yuumi seeks friendly companions to partner with on her journey, protecting them with luminous shields and fierce resolve. While Book strives to keep her on task, Yuumi is often drawn to worldly comforts, such as naps and fish. In the end, however, she always returns to her quest to find her friend.",,,,,,,,,,Support,Mage,Mana,5,1,8,2,480.0,70,400.0,45.0,330,25,3.0,25.0,0.3,500,7.0,0.55,10.0,0.4,55.0,3.1,1.0,0.625,Prowling Projectile,"Yuumi fires a missile, dealing damage to the first target hit. It deals bonus damage and slows if it takes at least 1 second to get to its target.<br><br>While Attached, the missile can be controlled with your cursor.",You and Me!,"Passively, Yuumi increases her ally's Adaptive Force and her own. Actively, Yuumi dashes to a target ally, becoming untargetable from everything except turrets.",Zoomies,"Heals Yuumi and boosts Movement Speed and Attack Speed. If she's attached, she passes it to her ally instead.<br>",Final Chapter,"Yuumi channels seven waves of damage, rooting anyone hit by three or more. Yuumi can move, attach, and cast Zoomies! while channeling.",Bop 'n' Block,"Periodically, when Yuumi attacks a champion, she restores mana and gains a shield that follows her, protecting her and the ally she's attached to.",Bandle City,Yuumi,Norra,the Keeper of Norra's,Book of Thresholds,,,,,,,,,
3,37,Sona,Maven of the Strings,Muse Sona,Pentakill Sona,Silent Night Sona,Guqin Sona,Arcade Sona,DJ Sona,Sweetheart Sona,Odyssey Sona,PsyOps Sona,Pentakill III: Lost Chapter Sona,,,,,,"Sona is Demacia's foremost virtuoso of the stringed etwahl, speaking only through her graceful chords and vibrant arias. This genteel manner has endeared her to the highborn, though others suspect her spellbinding melodies to actually emanate magic—a Demacian taboo. Silent to outsiders but somehow understood by close companions, Sona plucks her harmonies not only to soothe injured allies, but also to strike down unsuspecting enemies.","Make sure to tag your allies while Sona's auras are active, but avoid getting caught out by enemies.",Save Crescendo for the game-altering moment.,Well-timed uses of Aria of Perseverance will grant you maximum survivability.,,,Spread out when you see Sona so she can't make your entire team dance.,"Kill Sona first, as she will heal up her team if left alone for too long.",,,Support,Mage,Mana,5,2,8,4,480.0,77,340.0,45.0,325,26,3.3,30.0,0.5,550,5.5,0.55,11.5,0.4,49.0,3.0,2.3,0.644,Hymn of Valor,"Sona plays the Hymn of Valor, sends out bolts of sound, dealing magic damage to two nearby enemies, prioritizing champions and monsters. Sona gains a temporary aura that grants allies tagged by the zone bonus damage on their next attack against enemies.",Aria of Perseverance,"Sona plays the Aria of Perseverance, sending out protective melodies, healing Sona and a nearby wounded ally. Sona gains a temporary aura that grants allies tagged by the zone a temporary shield.",Song of Celerity,"Sona plays the Song of Celerity, granting nearby allies bonus Movement Speed. Sona gains a temporary aura that grants allied champions tagged by the zone bonus Movement Speed.",Crescendo,"Sona plays her ultimate chord, stunning enemy champions and forcing them to dance and dealing magic damage to them. Each rank reduces the base cooldown of Sona's basic abilities.",Power Chord,"<passive>Accelerando</passive>: Sona gains non-Ultimate ability haste permanently for her basic abilities as she uses her abilities well, up to a cap. Beyond that cap, further successful uses reduce her ultimate's remaining cooldown instead.<br><br><passive>Power Chord</passive>: Every few spell casts, Sona's next attack will deal bonus magic damage in addition to an additional effect based on what basic Ability Sona last activated.",,Sona,,,,Demacia,Demacian,,,,,,,
4,74,Heimerdinger,the Revered Inventor,Alien Invader Heimerdinger,Blast Zone Heimerdinger,Piltover Customs Heimerdinger,Snowmerdinger,Hazmat Heimerdinger,Dragon Trainer Heimerdinger,Pool Party Heimerdinger,,,,,,,,,"A brilliant yet eccentric yordle scientist, Professor Cecil B. Heimerdinger is one of the most innovative and esteemed inventors Piltover has ever known. Relentless in his work to the point of neurotic obsession, he thrives on answering the universe's most impenetrable questions. Though his theories often appear opaque and esoteric, Heimerdinger has crafted some of Piltover's most miraculous—not to mention lethal—machinery, and constantly tinkers with his inventions to make them even more efficient.","Turret placement can be a deciding factor in a battle. Against most enemies turrets are best when they can support each other, but if the enemy has a lot of area of effect damage your turrets can be destroyed quickly. Placing turrets in brush can lead to a surprise attack in your favor.","The success of Electron Storm Grenade is very important to Heimerdinger's survival. The slow and stun both are capable of keeping enemies in place long enough to punish them, but it is also the first line of defense against a surprise attack.","Spreading out Hextech Micro-Rockets leads to more reliable damage and more efficiency against multiple targets, but focusing it creates the biggest impact.",,,It's better to destroy all of Heimerdinger's turrets at once with the help of creeps than to fight them one at a time.,"Be wary of Heimerdinger's Upgrade!!!, as he can use it to find an answer to most trouble he gets into. Once his ultimate is down, go in for the kill!",,,Mage,Support,Mana,2,6,8,8,488.0,87,385.0,20.0,340,19,3.0,30.0,0.5,550,7.0,0.55,8.0,0.8,56.0,2.7,1.36,0.625,H-28 G Evolution Turret,Heimerdinger lays down a rapid-fire cannon turret equipped with a secondary pass-through beam attack (turrets deal half damage to towers).,Hextech Micro-Rockets,Heimerdinger fires long-range rockets that converge on his cursor.,CH-2 Electron Storm Grenade,"Heimerdinger lobs a grenade at a location, dealing damage to enemy units, as well as stunning anyone directly hit and slowing surrounding units.",UPGRADE!!!,"Heimerdinger invents an upgrade, causing his next spell to have increased effects. ",Hextech Affinity,Gain Movement Speed while near allied towers and turrets deployed by Heimerdinger.,Piltover,Cecil B. Heimerdinger,,,,,,,,,,,,
5,267,Nami,the Tidecaller,Koi Nami,River Spirit Nami,Urf the Nami-tee,Deep Sea Nami,SKT T1 Nami,Program Nami,Splendid Staff Nami,Cosmic Destiny Nami,Bewitching Nami,,,,,,,"A headstrong young vastaya of the seas, Nami was the first of the Marai tribe to leave the waves and venture onto dry land, when their ancient accord with the Targonians was broken. With no other option, she took it upon herself to complete the sacred ritual that would ensure the safety of her people. Amidst the chaos of this new age, Nami faces an uncertain future with grit and determination, using her Tidecaller staff to summon the strength of the oceans themselves.","Aqua Prison has a long cooldown, make sure to use it at the right moment.",Using Ebb and Flow during an engagement with enemy champions will help sway the battle in your favor.,Nami's ultimate can come in very handy for initiating on enemies who are far away.,,,"Aqua Prison is a very powerful ability with a long cooldown, take advantage of the situation if Nami misses this ability.","Tidal Wave has a very long range but travels slowly, be aware of when it is coming your way as you can move out of its path.","Try to avoid fighting an opponent affected by Tidecaller's Blessing, it lasts a short duration so waiting it out can help you greatly.",,Support,Mage,Mana,4,3,7,5,490.0,74,365.0,43.0,335,29,4.0,30.0,0.5,550,5.5,0.55,11.5,0.4,51.0,3.1,2.61,0.644,Aqua Prison,"Sends a bubble to a target area, dealing damage and stunning all enemies on impact.",Ebb and Flow,"Unleashes a stream of water that bounces back and forth between allied and enemy champions, healing allies and damaging enemies.",Tidecaller's Blessing,Empowers an allied champion for a short duration. The ally's basic attacks and spells deal bonus magic damage and slow the target.,Tidal Wave,"Summons a massive Tidal Wave that knocks up, slows, and damages enemies. Allies hit gain double the effect of Surging Tides.",Surging Tides,When Nami's Abilities hit allied champions they gain Movement Speed for a short duration.,Tidecaller,Nami,,Marai,,,Targonians,,,,,,,
6,99,Lux,the Lady of Luminosity,Sorceress Lux,Spellthief Lux,Commando Lux,Imperial Lux,Steel Legion Lux,Star Guardian Lux,Elementalist Lux,Lunar Empress Lux,Pajama Guardian Lux,Battle Academia Lux,Battle Academia Lux Prestige Edition,Dark Cosmic Lux,Cosmic Lux,Space Groove Lux,,"Luxanna Crownguard hails from Demacia, an insular realm where magical abilities are viewed with fear and suspicion. Able to bend light to her will, she grew up dreading discovery and exile, and was forced to keep her power secret, in order to preserve her family's noble status. Nonetheless, Lux's optimism and resilience have led her to embrace her unique talents, and she now covertly wields them in service of her homeland.",Lux has great zone control abilities. Try to set up Lucent Singularity to prevent an enemy's advance or escape.,"If you have trouble landing Prismatic Barrier, remember that it returns to you after it reaches max range. Try positioning yourself to hit your allies with its return trip.",Lucent Singularity is a great scouting tool. Try throwing it into brush before walking into it to check for ambushes.,,,Lux has powerful zone control abilities. Try to spread out and attack from different directions so she cannot lock down a specific area.,"When retreating with low health, be prepared to dodge Lux's Final Spark, a red targeting beam fires prior to the main beam, so try to move to the side if possible.",,,Mage,Support,Mana,2,4,9,5,490.0,85,480.0,23.5,330,19,4.0,30.0,0.5,550,5.5,0.55,8.0,0.8,54.0,3.3,2.0,0.669,Light Binding,Lux releases a sphere of light that binds and deals damage to up to two enemy units.,Prismatic Barrier,"Lux throws her wand and bends the light around any friendly target it touches, protecting them from enemy damage.",Lucent Singularity,"Fires an anomaly of twisted light to an area, which slows nearby enemies. Lux can detonate it to damage enemies in the area of effect.",Final Spark,"After gathering energy, Lux fires a beam of light that deals damage to all targets in the area. In addition, triggers Lux's passive ability and refreshes the Illumination debuff duration.",Illumination,"Lux's damaging spells charge the target with energy for a few seconds. Lux's next attack ignites the energy, dealing bonus magic damage (depending on Lux's level) to the target.",,Demacia,,,,Lux,,,,,,,,
7,157,Yasuo,the Unforgiven,High Noon Yasuo,PROJECT: Yasuo,Blood Moon Yasuo,Nightbringer Yasuo,Odyssey Yasuo,Battle Boss Yasuo,True Damage Yasuo,True Damage Yasuo Prestige Edition,Spirit Blossom Yasuo,Truth Dragon Yasuo,Dream Dragon Yasuo,,,,,"An Ionian of deep resolve, Yasuo is an agile swordsman who wields the air itself against his enemies. As a proud young man, he was falsely accused of murdering his master—unable to prove his innocence, he was forced to slay his own brother in self defense. Even after his master's true killer was revealed, Yasuo still could not forgive himself for all he had done, and now wanders his homeland with only the wind to guide his blade.",Dash through a minion to have Sweeping Blade available to chase your opponent should they flee; Dash directly to your opponent to preserve a minion as your escape route.,"At level 18, Yasuo's Steel Tempest reaches its Attack Speed cap with 55% Attack Speed from items.","Last Breath can be cast on any target that is knocked Airborne, even by one of your allies.",,,Steel Tempest is very narrow. Dodge laterally if possible. ,"When Yasuo lands two Steel Tempests in a row, his next will fire a tornado. Watch and listen for the associated sound to prepare to dodge.",Yasuo is at his weakest just after he has launched a whirlwind. Engage at that point.,"Yasuo's shield from Resolve lasts only 2 seconds. Dealing damage to him will trigger it. Wait it out, then engage.",Fighter,Assassin,Flow,8,4,4,10,490.0,87,100.0,0.0,345,30,3.4,32.0,1.25,175,6.5,0.9,0.0,0.0,60.0,3.0,3.5,0.6970000000000001,Steel Tempest,"Thrusts forward, damaging all enemies in a line.<br><br>On hit, grants a stack of Gathering Storm for a few seconds. At 2 stacks, Steel Tempest fires a whirlwind that knocks <font color='#6655CC'>Airborne</font>.<br><br>Steel Tempest is treated as a basic attack and scales with all the same things.",Wind Wall,Creates a moving wall that blocks all enemy projectiles for 4 seconds.,Sweeping Blade,"Dashes through target enemy, dealing magic damage. Each cast increases your next dash's base Damage, up to a max amount.<br><br>Cannot be re-cast on the same enemy for a few seconds.<br><br><font color='#99FF99'>If Steel Tempest is cast while dashing, it will strike as a circle.</font>",Last Breath,"Blinks to an <factionIonia1>Airborne</factionIonia1> enemy champion, dealing physical damage and holding all <factionIonia1>Airborne</factionIonia1> enemies in the area in the air. Grants maximum Flow but resets all stacks of Gathering Storm.<br><br>For a moderate time afterwards, Yasuo's critical strikes gain significant Bonus Armor Penetration.",Way of the Wanderer,"Yasuo's Critical Strike Chance is increased. Additionally, Yasuo builds toward a shield whenever he is moving. The shield triggers when he takes damage from a champion or monster.",,Yasuo,,,,,Ionian,,,,,,,
8,84,Akali,the Rogue Assassin,Stinger Akali,Infernal Akali,All-star Akali,Nurse Akali,Blood Moon Akali,Silverfang Akali,Headhunter Akali,Sashimi Akali,K/DA Akali,K/DA Akali Prestige Edition,PROJECT: Akali,True Damage Akali,K/DA ALL OUT Akali,Crime City Nightmare Akali,,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one kill at a time. Akali may strike in silence, but her message will be heard loud and clear: fear the assassin with no master.",Akali excels at killing fragile champions. Let your team initiate and then strike at the people in the back.,Twilight Shroud offers safety in even the most dangerous situations. Use that time to save up energy for a quick strike later.,,,,Akali can still be hit by area effect spells while obscured inside Twilight Shroud. Doing so will briefly reveal her position.,Akali's Five Point Strike is powerful when used at maximum range and energy. Engage on her when she has low energy to maximize your chance of winning trades.,Return to base if your Health is low and Akali has her ultimate available.,,Assassin,,Energy,5,3,8,7,500.0,105,200.0,0.0,345,23,3.5,37.0,1.25,125,9.0,0.9,50.0,0.0,62.0,3.3,3.2,0.625,Five Point Strike,"Akali throws out five kunai, dealing damage based on her bonus Attack Damage and Ability Power and slowing.",Twilight Shroud,"Akali drops a cover of smoke and briefly gains Movement Speed. While inside the shroud, Akali becomes invisible and unable to be selected by enemy spells and attacks. Attacking or using abilities will briefly reveal her.  ",Shuriken Flip,"Flip backward and fire a shuriken forward, dealing magic damage. The first enemy or smoke cloud hit is marked. Re-cast to dash to the marked target, dealing additional damage.",Perfect Execution,"Akali leaps in a direction, damaging enemies she strikes. Re-cast: Akali dashes in a direction, executing all enemies she strikes.",Assassin's Mark,Dealing spell damage to a champion creates a ring of energy around them. Exiting that ring empowers Akali's next autoattack with bonus range and damage.,,Akali,,Ionia,,Shen,,,,,,,,
9,40,Janna,the Storm's Fury,Tempest Janna,Hextech Janna,Frost Queen Janna,Victorious Janna,Forecast Janna,Fnatic Janna,Star Guardian Janna,Sacred Sword Janna,Bewitching Janna,Guardian of the Sands Janna,Battle Queen Janna,,,,,"Armed with the power of Runeterra's gales, Janna is a mysterious, elemental wind spirit who protects the dispossessed of Zaun. Some believe she was brought into existence by the pleas of Runeterra's sailors who prayed for fair winds as they navigated treacherous waters and braved rough tempests. Her favor and protection has since been called into the depths of Zaun, where Janna has become a beacon of hope to those in need. No one knows where or when she will appear, but more often than not, she's come to help.",Eye of the Storm can be used on allied turrets.,Quickly firing a Howling Gale without the charge up can be used to heavily disable the other team.,Timing Janna's ultimate can push enemies away from a wounded ally or even separate enemies.,,,Save an interrupt ability for when Janna uses her ultimate.,Listen for the charge up sound on Howling Gale in case Janna is trying to hit you with it from off screen or from brush.,"Janna's at her strongest when buffing another ally. If you can harass her ally, it will weaken her ability to fight you.",,Support,Mage,Mana,3,5,7,7,500.0,70,350.0,64.0,315,28,3.8,30.0,0.5,550,5.5,0.55,11.5,0.4,46.0,1.5,2.95,0.625,Howling Gale,"By creating a localized change in pressure and temperature, Janna is able to create a small storm that grows in size with time. She can activate the spell again to release the storm. On release this storm will fly towards the direction it was cast in, dealing damage and knocking away any enemies in its path.",Zephyr,Janna summons an air elemental that passively increases her Move Speed and enables her to pass through units. She may also activate this ability to deal damage and slow an enemy's Move Speed. The passive is lost while this ability is on cooldown.,Eye Of The Storm,Janna conjures a defensive gale that shields an ally champion or turret from incoming damage and increases their Attack Damage.,Monsoon,"Janna surrounds herself in a magical storm, throwing enemies back. After the storm has settled, soothing winds heal nearby allies while the ability is active.",Tailwind,"Janna passively gains bonus Move Speed, and nearby allied champions gain this bonus when moving toward her.<br><br>Additionally, Janna's basic attacks cause additional magic damage based on her bonus Move Speed.",Zaun,Runeterra,,,,Janna,,,,,,,,
