"type","version","basic__name","basic__rune__isrune","basic__rune__tier","basic__rune__type","basic__gold__base","basic__gold__total","basic__gold__sell","basic__gold__purchasable","basic__group","basic__description","basic__colloq","basic__plaintext","basic__consumed","basic__stacks","basic__depth","basic__consumeOnFull","basic__specialRecipe","basic__inStore","basic__hideFromAll","basic__requiredChampion","basic__requiredAlly","basic__stats__FlatHPPoolMod","basic__stats__rFlatHPModPerLevel","basic__stats__FlatMPPoolMod","basic__stats__rFlatMPModPerLevel","basic__stats__PercentHPPoolMod","basic__stats__PercentMPPoolMod","basic__stats__FlatHPRegenMod","basic__stats__rFlatHPRegenModPerLevel","basic__stats__PercentHPRegenMod","basic__stats__FlatMPRegenMod","basic__stats__rFlatMPRegenModPerLevel","basic__stats__PercentMPRegenMod","basic__stats__FlatArmorMod","basic__stats__rFlatArmorModPerLevel","basic__stats__PercentArmorMod","basic__stats__rFlatArmorPenetrationMod","basic__stats__rFlatArmorPenetrationModPerLevel","basic__stats__rPercentArmorPenetrationMod","basic__stats__rPercentArmorPenetrationModPerLevel","basic__stats__FlatPhysicalDamageMod","basic__stats__rFlatPhysicalDamageModPerLevel","basic__stats__PercentPhysicalDamageMod","basic__stats__FlatMagicDamageMod","basic__stats__rFlatMagicDamageModPerLevel","basic__stats__PercentMagicDamageMod","basic__stats__FlatMovementSpeedMod","basic__stats__rFlatMovementSpeedModPerLevel","basic__stats__PercentMovementSpeedMod","basic__stats__rPercentMovementSpeedModPerLevel","basic__stats__FlatAttackSpeedMod","basic__stats__PercentAttackSpeedMod","basic__stats__rPercentAttackSpeedModPerLevel","basic__stats__rFlatDodgeMod","basic__stats__rFlatDodgeModPerLevel","basic__stats__PercentDodgeMod","basic__stats__FlatCritChanceMod","basic__stats__rFlatCritChanceModPerLevel","basic__stats__PercentCritChanceMod","basic__stats__FlatCritDamageMod","basic__stats__rFlatCritDamageModPerLevel","basic__stats__PercentCritDamageMod","basic__stats__FlatBlockMod","basic__stats__PercentBlockMod","basic__stats__FlatSpellBlockMod","basic__stats__rFlatSpellBlockModPerLevel","basic__stats__PercentSpellBlockMod","basic__stats__FlatEXPBonus","basic__stats__PercentEXPBonus","basic__stats__rPercentCooldownMod","basic__stats__rPercentCooldownModPerLevel","basic__stats__rFlatTimeDeadMod","basic__stats__rFlatTimeDeadModPerLevel","basic__stats__rPercentTimeDeadMod","basic__stats__rPercentTimeDeadModPerLevel","basic__stats__rFlatGoldPer10Mod","basic__stats__rFlatMagicPenetrationMod","basic__stats__rFlatMagicPenetrationModPerLevel","basic__stats__rPercentMagicPenetrationMod","basic__stats__rPercentMagicPenetrationModPerLevel","basic__stats__FlatEnergyRegenMod","basic__stats__rFlatEnergyRegenModPerLevel","basic__stats__FlatEnergyPoolMod","basic__stats__rFlatEnergyModPerLevel","basic__stats__PercentLifeStealMod","basic__stats__PercentSpellVampMod","basic__maps__1","basic__maps__8","basic__maps__10","basic__maps__12","data__|","data__|__name","data__|__description","data__|__colloq","data__|__plaintext","data__|__requiredChampion","data__|__specialRecipe","data__|__stacks","data__|__consumed","data__|__consumeOnFull","data__|__inStore","data__|__hideFromAll","data__|__from__001","data__|__from__002","data__|__from__003","data__|__from__004","data__|__from__005","data__|__from__006","data__|__into__001","data__|__into__002","data__|__into__003","data__|__into__004","data__|__into__005","data__|__into__006","data__|__into__007","data__|__into__008","data__|__into__009","data__|__into__010","data__|__into__011","data__|__into__012","data__|__into__013","data__|__into__014","data__|__into__015","data__|__into__016","data__|__into__017","data__|__into__018","data__|__into__019","data__|__image__full","data__|__image__sprite","data__|__image__group","data__|__image__x","data__|__image__y","data__|__image__w","data__|__image__h","data__|__gold__base","data__|__gold__purchasable","data__|__gold__total","data__|__gold__sell","data__|__tags__001","data__|__tags__002","data__|__tags__003","data__|__tags__004","data__|__tags__005","data__|__tags__006","data__|__tags__007","data__|__tags__008","data__|__tags__009","data__|__tags__010","data__|__tags__011","data__|__tags__012","data__|__tags__013","data__|__maps__11","data__|__maps__12","data__|__maps__21","data__|__maps__22","data__|__stats__PercentAttackSpeedMod","data__|__stats__FlatPhysicalDamageMod","data__|__stats__PercentLifeStealMod","data__|__effect__Effect1Amount","data__|__effect__Effect2Amount","data__|__effect__Effect3Amount","data__|__effect__Effect4Amount","data__|__effect__Effect5Amount","data__|__effect__Effect6Amount","data__|__effect__Effect7Amount","data__|__effect__Effect8Amount","data__|__effect__Effect9Amount","data__|__effect__Effect10Amount","data__|__effect__Effect11Amount","data__|__effect__Effect12Amount","data__|__effect__Effect13Amount","data__|__effect__Effect14Amount","data__|__effect__Effect15Amount","data__|__effect__Effect16Amount","data__|__effect__Effect17Amount","data__|__effect__Effect18Amount","data__|__stats__FlatSpellBlockMod","data__|__stats__FlatArmorMod","data__|__stats__FlatMPPoolMod","data__|__stats__FlatMagicDamageMod","data__|__stats__FlatCritChanceMod","data__|__stats__PercentMovementSpeedMod","data__|__stats__FlatHPPoolMod","data__|__stats__FlatHPRegenMod","data__|__depth","data__|__stats__FlatMovementSpeedMod","groups__id","groups__MaxGroupOwnable","tree__header","tree__tags__001","tree__tags__002","tree__tags__003","tree__tags__004","tree__tags__005","tree__tags__006","tree__tags__007","tree__tags__008","tree__tags__009","tree__tags__010"
"item","11.22.1","","False","1","red","0","0","0","False","","",";","","False","1","1","False","0","True","False","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","True","True","True","True","1001","Boots","<mainText><stats><attention>25</attention> Move Speed</stats></mainText><br>",";","Slightly increases Movement Speed","","","","","","","","","","","","","","3158","3006","3009","3020","3047","3111","3117","","","","","","","","","","","","","1001.png","item0.png","item","0","0","48","48","300","True","300","210","Boots","","","","","","","","","","","","","True","True","True","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","HuntersTalismanGroup","1","START","LANE","JUNGLE","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1004","Faerie Charm","<mainText><stats><attention>50%</attention> Base Mana Regen</stats></mainText><br>",";","Slightly increases Mana Regen","","","","","","","","","","","","","","3114","4642","","","","","","","","","","","","","","","","","","1004.png","item0.png","item","48","0","48","48","250","True","250","175","ManaRegen","","","","","","","","","","","","","True","True","True","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HuntersMacheteGroup","1","TOOLS","GOLDPER","CONSUMABLE","VISION","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1006","Rejuvenation Bead","<mainText><stats><attention>50%</attention> Base Health Regen</stats></mainText><br>",";","Slightly increases Health Regen","","","","","","","","","","","","","","3109","3801","","","","","","","","","","","","","","","","","","1006.png","item0.png","item","96","0","48","48","150","True","150","105","HealthRegen","","","","","","","","","","","","","True","True","True","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BaseJungleItems","-1","DEFENSE","HEALTH","HEALTHREGEN","ARMOR","SPELLBLOCK","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1011","Giant's Belt","<mainText><stats><attention>350</attention> Health</stats></mainText><br>",";","Greatly increases Health","","","","","","","","1028","","","","","","3075","3083","3001","3116","3748","4637","8001","","","","","","","","","","","","","1011.png","item0.png","item","144","0","48","48","500","True","900","630","Health","","","","","","","","","","","","","True","True","True","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","350","","2","","Boots","1","ATTACK","LIFESTEAL","CRITICALSTRIKE","ATTACKSPEED","DAMAGE","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1018","Cloak of Agility","<mainText><stats><attention>15%</attention> Critical Strike Chance</stats></mainText><br>",";","Increases critical strike chance","","","","","","","","","","","","","","3124","6676","3086","3031","3036","3072","3095","3139","3508","6671","6672","6673","6675","","","","","","","1018.png","item0.png","item","192","0","48","48","600","True","600","420","CriticalStrike","","","","","","","","","","","","","True","True","True","False","","","","","","","","","","","","","","","","","","","","","","","","","","0.15","","","","","","BootsOfSpeed","-1","MAGIC","MANA","SPELLDAMAGE","COOLDOWNREDUCTION","MANAREGEN","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1026","Blasting Wand","<mainText><stats><attention>40</attention> Ability Power</stats></mainText><br>",";","Moderately increases Ability Power","","","","","","","","","","","","","","3100","3115","3116","6655","3135","3152","3165","4633","4636","4637","6656","","","","","","","","","1026.png","item0.png","item","240","0","48","48","850","True","850","595","SpellDamage","","","","","","","","","","","","","True","True","True","False","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","","","","BootsWithoutActives","1","MOVEMENT","BOOTS","NONBOOTSMOVEMENT","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027","Sapphire Crystal","<mainText><stats><attention>250</attention> Mana</stats></mainText><br>",";blue","Increases Mana","","","","","","","","","","","","","","3024","3802","","","","","","","","","","","","","","","","","","1027.png","item0.png","item","288","0","48","48","350","True","350","245","Mana","","","","","","","","","","","","","True","True","True","False","","","","","","","","","","","","","","","","","","","","","","","","250","","","","","","","","BuildsFromStopwatchGroup","-1","UNCATEGORIZED","ACTIVE","MAGICPENETRATION","ARMORPENETRATION","AURA","ONHIT","TRINKET","SLOW","STEALTH","SPELLVAMP","TENACITY"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028","Ruby Crystal","<mainText><stats><attention>150</attention> Health</stats></mainText><br>",";red","Increases Health","","","","","","","","","","","","","","6035","6609","1011","3066","3067","3044","3053","3211","3814","3152","3165","3742","3748","3801","4401","4635","4636","6660","","1028.png","item0.png","item","336","0","48","48","400","True","400","280","Health","","","","","","","","","","","","","True","True","True","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","","","","Consumable","-1","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1029","Cloth Armor","<mainText><stats><attention>15</attention> Armor</stats></mainText><br>",";","Slightly increases Armor","","","","","","","","","","","","","","1031","3193","3082","3076","3191","3024","3047","3105","6664","3143","6662","","","","","","","","","1029.png","item0.png","item","384","0","48","48","300","True","300","210","Armor","","","","","","","","","","","","","True","True","True","False","","","","","","","","","","","","","","","","","","","","","","","15","","","","","","","","","ControlWardItems","1","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1031","Chain Vest","<mainText><stats><attention>40</attention> Armor</stats></mainText><br>",";","Greatly increases Armor","","","","","","","","1029","","","","","","3026","3742","6333","","","","","","","","","","","","","","","","","1031.png","item0.png","item","432","0","48","48","500","True","800","560","Armor","","","","","","","","","","","","","True","True","True","False","","","","","","","","","","","","","","","","","","","","","","","40","","","","","","","2","","Default","-1","","","","","","","","","","",""
