name,plaintext,gold__base,gold__purchasable,gold__total,gold__sell,tags__001,tags__002,tags__003,tags__004,tags__005,tags__006,tags__007,tags__008,tags__009,tags__010,tags__011,tags__012,tags__013,stats__PercentAttackSpeedMod,stats__FlatPhysicalDamageMod,stats__PercentLifeStealMod,stats__FlatSpellBlockMod,stats__FlatArmorMod,stats__FlatMPPoolMod,stats__FlatMagicDamageMod,stats__FlatCritChanceMod,stats__PercentMovementSpeedMod,stats__FlatHPPoolMod,stats__FlatHPRegenMod,stats__FlatMovementSpeedMod
Boots,Slightly increases Movement Speed,300,VERDADEIRO,300,210,Boots,,,,,,,,,,,,,,,,,,,,,,,,25
Faerie Charm,Slightly increases Mana Regen,250,VERDADEIRO,250,175,ManaRegen,,,,,,,,,,,,,,,,,,,,,,,,
Rejuvenation Bead,Slightly increases Health Regen,150,VERDADEIRO,150,105,HealthRegen,,,,,,,,,,,,,,,,,,,,,,,,
Giant's Belt,Greatly increases Health,500,VERDADEIRO,900,630,Health,,,,,,,,,,,,,,,,,,,,,,350,,
Cloak of Agility,Increases critical strike chance,600,VERDADEIRO,600,420,CriticalStrike,,,,,,,,,,,,,,,,,,,,0.15,,,,
Blasting Wand,Moderately increases Ability Power,850,VERDADEIRO,850,595,SpellDamage,,,,,,,,,,,,,,,,,,,40,,,,,
Sapphire Crystal,Increases Mana,350,VERDADEIRO,350,245,Mana,,,,,,,,,,,,,,,,,,250,,,,,,
Ruby Crystal,Increases Health,400,VERDADEIRO,400,280,Health,,,,,,,,,,,,,,,,,,,,,,150,,
Cloth Armor,Slightly increases Armor,300,VERDADEIRO,300,210,Armor,,,,,,,,,,,,,,,,,15,,,,,,,
Chain Vest,Greatly increases Armor,500,VERDADEIRO,800,560,Armor,,,,,,,,,,,,,,,,,40,,,,,,,
Null-Magic Mantle,Slightly increases Magic Resist,450,VERDADEIRO,450,315,SpellBlock,,,,,,,,,,,,,,,,25,,,,,,,,
Emberknife,,350,VERDADEIRO,350,140,LifeSteal,SpellVamp,Jungle,,,,,,,,,,,,,,,,,,,,,,
Long Sword,Slightly increases Attack Damage,350,VERDADEIRO,350,245,Damage,Lane,,,,,,,,,,,,,10,,,,,,,,,,
Pickaxe,Moderately increases Attack Damage,875,VERDADEIRO,875,613,Damage,,,,,,,,,,,,,,25,,,,,,,,,,
B. F. Sword,Greatly increases Attack Damage,1300,VERDADEIRO,1300,910,Damage,,,,,,,,,,,,,,40,,,,,,,,,,
